id,user_id,transaction_date,stored,extracted,description
2,1,"2026-05-19T05:00:00.000Z",1575.53,-27.14,"Robinhood Funds 892953134 Web ID: 1464364776 -27.14"
3,1,"2026-05-20T05:00:00.000Z",1478,-25,"Robinhood Funds 892953134 Web ID: 1464364776 -25.00"
4,1,"2026-05-20T05:00:00.000Z",1453,-25,"Robinhood Funds 892953134 Web ID: 1464364776 -25.00"
5,1,"2026-05-20T05:00:00.000Z",1415.3,-37.7,"Card Purchase With Pin 05/20 Target T-0942 Chicago IL Card 3413 -37.70"
6,1,"2026-05-21T05:00:00.000Z",1405.39,9.91,"Card Purchase 05/20 Spirits & Snacks Chicago IL Card 3413 - 9.91"
7,1,"2026-05-21T05:00:00.000Z",1254.62,-29.39,"Card Purchase With Pin 05/21 Target T-0942 Chicago IL Card 3413 -29.39"
9,1,"2026-05-22T05:00:00.000Z",1264.71,-500,"05/22 Online Transfer To Sav ...4385 Transaction#: 29319434507 -500.00"
10,1,"2026-05-22T05:00:00.000Z",1221.27,-43.44,"Card Purchase With Pin 05/22 Target T-0942 Chicago IL Card 3413 -43.44 CHECKING SUMMARY CHECKS PAID TRANSACTION DETAIL *start*summary *end*summary *start*checks paid section2 *end*checks paid section2 *start*transaction detail *end*transaction detail -- 1 of 4 -- 2 4	Page of Account Number:"
11,1,"2026-05-26T05:00:00.000Z",1211.27,10,"Robinhood Funds 892953134 Web ID: 1464364776 - 10.00"
12,1,"2026-05-26T05:00:00.000Z",1185.11,26.16,"Card Purchase 05/24 Tst* Cody S Public Hous Chicago IL Card 3413 - 26.16"
13,1,"2026-05-26T05:00:00.000Z",1161.93,-7.09,"Card Purchase 05/24 Sq *Hexe Coffee CO. Chicago IL Card 3413 -7.09"
14,1,"2026-05-26T05:00:00.000Z",1129.87,32.06,"Card Purchase With Pin 05/24 Target T-0942 Chicago IL Card 3413 - 32.06"
15,1,"2026-05-26T05:00:00.000Z",1122.8,-7.07,"Card Purchase 05/24 Spirits & Snacks Chicago IL Card 3413 -7.07"
16,1,"2026-05-26T05:00:00.000Z",1107.37,-4.64,"Card Purchase 05/25 Target 00009423 Chicago IL Card 3413 -4.64"
17,1,"2026-05-26T05:00:00.000Z",1096.51,10.86,"Card Purchase 05/26 Tst* Frank And Mary's T Chicago IL Card 3413 - 10.86"
18,1,"2026-05-26T05:00:00.000Z",1014.93,62.85,"Card Purchase With Pin 05/26 Target T-0942 Chicago IL Card 3413 - 62.85"
19,1,"2026-05-27T05:00:00.000Z",1004.07,10.86,"Card Purchase 05/27 Tst* Frank And Mary's T Chicago IL Card 3413 - 10.86"
20,1,"2026-05-27T05:00:00.000Z",816.08,-187.99,"Dept Education Student Ln PPD ID: 9102002601 -187.99"
21,1,"2026-05-27T05:00:00.000Z",762.01,54.07,"Peoples Gas Autopay PPD ID: 4361613900 - 54.07"
22,1,"2026-05-27T05:00:00.000Z",737.01,25,"Robinhood Funds 892953134 Web ID: 1464364776 - 25.00"
23,1,"2026-05-27T05:00:00.000Z",705.04,31.97,"Card Purchase With Pin 05/27 Target T-0942 Chicago IL Card 3413 - 31.97"
