id,user_id,transaction_date,description,amount,category,created_at
1,1,2026-06-16,"Bank transaction If you see a check description in the Transaction Detail section, it means your check has already been converted for electronic payment. Because of this, we're not able to return the check to you or show you an image on Chase.com. ^ An image of this check may be available for you to view on Chase.com.",995,Other,2026-08-12
2,1,2026-05-19,Robinhood Funds 892953134 Web ID: 1464364776 -27.14,-27.14,Other,2026-08-12
3,1,2026-05-20,Robinhood Funds 892953134 Web ID: 1464364776 -25.00,-25,Other,2026-08-12
4,1,2026-05-20,Robinhood Funds 892953134 Web ID: 1464364776 -25.00,-25,Other,2026-08-12
5,1,2026-05-20,Card Purchase With Pin 05/20 Target T-0942 Chicago IL Card 3413 -37.70,-37.7,Shopping,2026-08-12
6,1,2026-05-21,Card Purchase 05/20 Spirits & Snacks Chicago IL Card 3413 - 9.91,9.91,Other,2026-08-12
7,1,2026-05-21,Card Purchase With Pin 05/21 Target T-0942 Chicago IL Card 3413 -29.39,-29.39,Shopping,2026-08-12
8,1,2026-05-22,Coyote Logistics Payments PPD ID: 9086732000,1764.71,Other,2026-08-12
9,1,2026-05-22,05/22 Online Transfer To Sav ...4385 Transaction#: 29319434507 -500.00,-500,Other,2026-08-12
10,1,2026-05-22,Card Purchase With Pin 05/22 Target T-0942 Chicago IL Card 3413 -43.44 CHECKING SUMMARY CHECKS PAID TRANSACTION DETAIL *start*summary *end*summary *start*checks paid section2 *end*checks paid section2 *start*transaction detail *end*transaction detail -- 1 of 4 -- 2 4	Page of Account Number:,-43.44,Shopping,2026-08-12
11,1,2026-05-26,Robinhood Funds 892953134 Web ID: 1464364776 - 10.00,10,Other,2026-08-12
12,1,2026-05-26,Card Purchase 05/24 Tst* Cody S Public Hous Chicago IL Card 3413 - 26.16,26.16,Other,2026-08-12
13,1,2026-05-26,Card Purchase 05/24 Sq *Hexe Coffee CO. Chicago IL Card 3413 -7.09,-7.09,Other,2026-08-12
14,1,2026-05-26,Card Purchase With Pin 05/24 Target T-0942 Chicago IL Card 3413 - 32.06,32.06,Shopping,2026-08-12
15,1,2026-05-26,Card Purchase 05/24 Spirits & Snacks Chicago IL Card 3413 -7.07,-7.07,Other,2026-08-12
16,1,2026-05-26,Card Purchase 05/25 Target 00009423 Chicago IL Card 3413 -4.64,-4.64,Shopping,2026-08-12
17,1,2026-05-26,Card Purchase 05/26 Tst* Frank And Mary's T Chicago IL Card 3413 - 10.86,10.86,Other,2026-08-12
18,1,2026-05-26,Card Purchase With Pin 05/26 Target T-0942 Chicago IL Card 3413 - 62.85,62.85,Shopping,2026-08-12
19,1,2026-05-27,Card Purchase 05/27 Tst* Frank And Mary's T Chicago IL Card 3413 - 10.86,10.86,Other,2026-08-12
20,1,2026-05-27,Dept Education Student Ln PPD ID: 9102002601 -187.99,-187.99,Other,2026-08-12
21,1,2026-05-27,Peoples Gas Autopay PPD ID: 4361613900 - 54.07,54.07,Rent & Utilities,2026-08-12
22,1,2026-05-27,Robinhood Funds 892953134 Web ID: 1464364776 - 25.00,25,Other,2026-08-12
23,1,2026-05-27,Card Purchase With Pin 05/27 Target T-0942 Chicago IL Card 3413 - 31.97,31.97,Shopping,2026-08-12
24,1,2026-05-29,Coyote Logistics Payments PPD ID: 9086732000,2234.39,Other,2026-08-12
25,1,2026-06-01,Card Purchase 05/29 Spirits & Snacks Chicago IL Card 3413 - 19.28,19.28,Other,2026-08-12
26,1,2026-06-01,Card Purchase 05/29 Su Taqueria El Rey Del Chicago IL Card 3413 - 48.16,48.16,Other,2026-08-12
27,1,2026-06-01,Card Purchase 05/30 Tst* Jeni's Splendid Ic Chicago IL Card 3413 - 22.43,22.43,Other,2026-08-12
28,1,2026-06-01,Card Purchase 05/31 Starbucks Store 02223 Chicago IL Card 3413 -4.37,-4.37,Dining Takeout,2026-08-12
29,1,2026-06-01,Card Purchase With Pin 05/31 Target T-0942 Chicago IL Card 3413 - 40.33,40.33,Shopping,2026-08-12
30,1,2026-06-01,Card Purchase 06/01 Tst* Small Bar Chicago IL Card 3413 -8.76,-8.76,Dining Takeout,2026-08-12
31,1,2026-06-01,Card Purchase With Pin 06/01 Target T-0942 Chicago IL Card 3413 - 46.75,46.75,Shopping,2026-08-12
32,1,2026-06-02,Comcast-Xfinity Cable Svcs PPD ID: 0000213249 -177.47,-177.47,Rent & Utilities,2026-08-12
33,1,2026-06-02,Card Purchase With Pin 06/02 Target T-0942 Chicago IL Card 3413 - 34.04,34.04,Shopping,2026-08-12
34,1,2026-06-04,Card Purchase 06/03 Spirits & Snacks Chicago IL Card 3413 - 17.18,17.18,Other,2026-08-12
35,1,2026-06-04,Recurring Card Purchase 06/03 Spotify USA 877-7781161 NY Card 3413 - 14.32,14.32,Subscriptions,2026-08-12
36,1,2026-06-04,Card Purchase 06/04 Convenient Food Mart Chicago IL Card 3413 - 18.75,18.75,Other,2026-08-12
37,1,2026-06-04,Card Purchase 06/04 Gametime Gametime.CO CA Card 3413 -376.00,-376,Other,2026-08-12
38,1,2026-06-04,Card Purchase With Pin 06/04 Target T-0942 Chicago IL Card 3413 - 51.51,51.51,Shopping,2026-08-12
39,1,2026-06-08,Card Purchase 06/05 Su Taqueria El Rey Del Chicago IL Card 3413 - 40.92,40.92,Other,2026-08-12
40,1,2026-06-08,Card Purchase 06/06 Target T-0942 Chicago IL Card 3413 -5.56,-5.56,Shopping,2026-08-12
41,1,2026-06-08,Card Purchase 06/07 Tst* Old Crow Wrigleyvi Chicago IL Card 3413 -8.98,-8.98,Other,2026-08-12
42,1,2026-06-08,Card Purchase 06/06 Levy@2Wrigley Field Chicago IL Card 3413 - 56.48,56.48,Other,2026-08-12
43,1,2026-06-08,Card Purchase 06/06 Levy@2Wrigley Field Chicago IL Card 3413 - 23.11,23.11,Other,2026-08-12
44,1,2026-06-08,Card Purchase 06/07 Tst* The Stretch Chicago IL Card 3413 - 30.20 TRANSACTION DETAIL (continued) *start*transaction detail *end*transaction detail -- 2 of 4 -- 3 4	Page of Account Number: You were not charged a Monthly Service Fee ONE Account was linked,30.2,Other,2026-08-12
45,1,2026-06-08,Card Purchase With Pin 06/07 Target T-0942 Chicago IL Card 3413 - 60.17,60.17,Shopping,2026-08-12
46,1,2026-06-08,Card Purchase With Pin 06/08 Target T-0942 Chicago IL Card 3413 - 45.71,45.71,Shopping,2026-08-12
47,1,2026-06-09,Card Purchase With Pin 06/09 Target T-0942 Chicago IL Card 3413 - 33.53,33.53,Shopping,2026-08-12
48,1,2026-06-10,Subscription Acorns Cqr7J9 Web ID: 9000142694 -3.00,-3,Subscriptions,2026-08-12
49,1,2026-06-10,Card Purchase With Pin 06/10 Target T-0942 Chicago IL Card 3413 - 21.38,21.38,Shopping,2026-08-12
50,1,2026-06-12,Coyote Logistics Payments PPD ID: 9086732000,2478.34,Other,2026-08-12
51,1,2026-06-12,Venmo Cashout PPD ID: 5264681992,2678.34,Other,2026-08-12
52,1,2026-06-12,Venmo Cashout PPD ID: 5264681992,2772.34,Other,2026-08-12
53,1,2026-06-12,Card Purchase 06/11 Regal City North 1789 Chicago IL Card 3413 - 32.08,32.08,Other,2026-08-12
54,1,2026-06-15,Online Transfer From Sav ...4385 Transaction#: 29614057767,2766.13,Other,2026-08-12
