id,user_id,transaction_date,description,amount,category,created_at
635,1,2026-02-19,Card Purchase 02/17 365 Market L 888 432-32 Troy MI Card 3413,-4.31,Other,2026-08-16
636,1,2026-02-19,Card Purchase 02/18 365 Market L 888 432-32 Troy MI Card 3413,-4.31,Other,2026-08-16
637,1,2026-02-19,Card Purchase 02/18 365 Market L 888 432-32 Troy MI Card 3413,-4.42,Other,2026-08-16
638,1,2026-02-19,Venmo Payment 1048405184216 Web ID: 3264681992,-41.75,Other,2026-08-16
639,1,2026-02-20,Coyote Logis-Osv 0000702990 PPD ID: 00004399,3698.99,Other,2026-08-16
640,1,2026-02-20,Card Purchase 02/19 365 Market L 888 432-32 Troy MI Card 3413,-4.31,Other,2026-08-16
641,1,2026-02-20,Card Purchase 02/19 365 Market L 888 432-32 Troy MI Card 3413,-1.65,Other,2026-08-16
642,1,2026-02-20,Card Purchase 02/19 365 Market L 888 432-32 Troy MI Card 3413,-1.65,Other,2026-08-16
643,1,2026-02-23,Card Purchase 02/20 City Pool Hall Chicago IL Card 3413,-28.5,Other,2026-08-16
644,1,2026-02-23,Card Purchase 02/21 Spirits & Snacks Chicago IL Card 3413,-30.42,Dining Takeout,2026-08-16
645,1,2026-02-23,Card Purchase With Pin 02/21 Target T-0942 Chicago IL Card 3413,-84.01,Shopping,2026-08-16
646,1,2026-02-23,Card Purchase With Pin 02/22 Target T-0942 Chicago IL Card 3413,-69.7,Shopping,2026-08-16
647,1,2026-02-23,Card Purchase 02/22 Spirits & Snacks Chicago IL Card 3413,-7.14,Dining Takeout,2026-08-16
648,1,2026-02-24,Card Purchase 02/22 Myopic Books Chicago IL Card 3413,-14.32,Other,2026-08-16
649,1,2026-02-25,Card Purchase 02/24 365 Market L 888 432-32 Troy MI Card 3413,-4.31,Other,2026-08-16
650,1,2026-02-25,Card Purchase 02/24 365 Market L 888 432-32 Troy MI Card 3413,-4.2,Other,2026-08-16
651,1,2026-02-25,Peoples Gas Autopay PPD ID: 4361613900,-103.69,Rent & Utilities,2026-08-16
652,1,2026-02-25,Card Purchase With Pin 02/25 Target T-0942 Chicago IL Card 3413 CHECKING SUMMARY TRANSACTION DETAIL *start*summary *end*summary *start*transaction detail *end*transaction detail -- 1 of 4 -- 2 4	Page of Account Number:,-86.97,Shopping,2026-08-16
653,1,2026-02-27,Coyote Logis-Osv Edipyments PPD ID: 3263101267,3099.94,Other,2026-08-16
654,1,2026-02-27,Card Purchase 02/25 365 Market L 888 432-32 Troy MI Card 3413,-4.31,Other,2026-08-16
655,1,2026-02-27,Card Purchase 02/27 Tst* The HI-Lo Chicago IL Card 3413,-52.8,Dining Takeout,2026-08-16
656,1,2026-02-27,Dept Education Student Ln PPD ID: 9102002601,-187.99,Other,2026-08-16
657,1,2026-03-02,Venmo Cashout PPD ID: 5264681992,2879.84,Transfer,2026-08-16
658,1,2026-03-02,Card Purchase 02/26 365 Market L 888 432-32 Troy MI Card 3413,-4.31,Other,2026-08-16
659,1,2026-03-02,Card Purchase 02/27 Spirits & Snacks Chicago IL Card 3413,-26.96,Dining Takeout,2026-08-16
660,1,2026-03-02,Robinhood Funds 892953134 Web ID: 1464364776,-25,Investing,2026-08-16
661,1,2026-03-02,Card Purchase With Pin 02/28 Target T-0942 Chicago IL Card 3413,-62.39,Shopping,2026-08-16
662,1,2026-03-02,Venmo Payment 1048636595946 Web ID: 3264681992,-50,Other,2026-08-16
663,1,2026-03-02,Venmo Payment 1048604794435 Web ID: 3264681992,-40,Other,2026-08-16
664,1,2026-03-02,Chase Crd Autopay PPD ID: 4760039224,-594.47,Other,2026-08-16
665,1,2026-03-02,Comcast-Xfinity Cable Svcs PPD ID: 0000213249,-177.88,Rent & Utilities,2026-08-16
666,1,2026-03-02,Venmo Payment 1048656872811 Web ID: 3264681992,-95,Other,2026-08-16
667,1,2026-03-03,Card Purchase 03/02 365 Market L 888 432-32 Troy MI Card 3413,-1.65,Other,2026-08-16
668,1,2026-03-03,Card Purchase 03/02 365 Market L 888 432-32 Troy MI Card 3413,-3.87,Other,2026-08-16
669,1,2026-03-03,Card Purchase 03/02 365 Market L 888 432-32 Troy MI Card 3413,-3.86,Other,2026-08-16
670,1,2026-03-03,Robinhood Funds 892953134 Web ID: 1464364776,-25,Investing,2026-08-16
671,1,2026-03-04,Card Purchase 03/02 Emporium Logan Square Chicago IL Card 3413,-40.12,Dining Takeout,2026-08-16
672,1,2026-03-04,Card Purchase 03/03 365 Market L 888 432-32 Troy MI Card 3413,-1.65,Other,2026-08-16
